CustomerId,Geography,Gender,Age,Tenure,CreditScore,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,AgeGroup,BalanceSegment,CustomerValueScore,ValueQuartile,ChurnStatus,ActivityStatus,RiskSegment,BalanceAtRisk
1000001,Spain,Male,21,10,665,0.0,1,1,1,94598.56,0,<30,Low,105419.712,Low,Retained,Active,Low Value - Low Risk,0.0
1000002,France,Male,35,9,734,0.0,2,1,1,151328.56,0,30-39,Low,143665.712,Medium,Retained,Active,Low Value - Low Risk,0.0
1000003,Spain,Female,22,4,660,0.0,1,1,0,112890.1,1,<30,Low,108578.02,Low,Churned,Inactive,Low Value - High Risk,0.0
1000004,Germany,Female,59,9,838,87868.82,2,1,1,152083.61,0,50-59,High,211331.45500000002,Very High,Retained,Active,High Value - Low Risk,0.0
1000005,France,Female,41,0,651,0.0,2,1,0,147922.44,0,40-49,Low,134684.488,Medium,Retained,Inactive,Low Value - Low Risk,0.0
1000006,Spain,Female,40,2,778,107184.46,2,1,0,102563.77,1,40-49,High,207982.653,Very High,Churned,Inactive,High Value - High Risk,107184.46
1000007,Spain,Female,41,8,743,60928.81,2,1,0,105478.41,0,40-49,Medium,174999.4085,High,Retained,Inactive,High Value - Low Risk,0.0
1000008,Spain,Male,45,10,795,103137.38,2,1,0,96098.66,0,40-49,High,205759.029,Very High,Retained,Inactive,High Value - Low Risk,0.0
1000009,France,Female,49,1,837,0.0,3,1,0,105546.18,0,40-49,Low,164809.236,High,Retained,Inactive,High Value - Low Risk,0.0
1000010,France,Female,23,7,483,0.0,1,0,1,68565.14,0,<30,Low,82013.02799999999,Low,Retained,Active,Low Value - Low Risk,0.0
1000011,France,Male,52,1,675,47107.35,2,0,1,119588.11,0,50-59,Medium,162037.3995,High,Retained,Active,High Value - Low Risk,0.0
1000012,Spain,Male,51,8,639,0.0,2,0,1,110567.15,0,50-59,Low,126013.43,Medium,Retained,Active,Low Value - Low Risk,0.0
1000013,Germany,Female,38,9,661,5000.0,1,0,0,65319.91,0,30-39,Medium,102413.982,Low,Retained,Inactive,Low Value - Low Risk,0.0
1000014,Spain,Female,38,5,612,0.0,1,1,0,122237.44,0,30-39,Low,105647.488,Low,Retained,Inactive,Low Value - Low Risk,0.0
1000015,France,Male,18,1,598,130248.16,2,1,1,170887.7,0,<30,Very High,218638.844,Very High,Retained,Active,High Value - Low Risk,0.0
1000016,France,Female,27,2,546,114245.28,1,0,0,100473.84,0,<30,High,168954.2,High,Retained,Inactive,High Value - Low Risk,0.0
1000017,Germany,Male,44,5,659,161362.92,2,1,1,103984.65,0,40-49,Very High,231582.828,Very High,Retained,Active,High Value - Low Risk,0.0
1000018,France,Male,51,8,739,55459.46,2,0,0,110591.19,1,50-59,Medium,172066.887,High,Churned,Inactive,High Value - High Risk,55459.46
1000019,Spain,Female,46,5,603,0.0,2,1,0,500.0,0,40-49,Low,100400.0,Low,Retained,Inactive,Low Value - Low Risk,0.0
1000020,Germany,Male,38,5,619,0.0,1,1,1,79068.83,0,30-39,Low,97713.766,Low,Retained,Active,Low Value - Low Risk,0.0
1000021,Spain,Female,58,6,584,100497.24,3,1,0,200000.0,1,50-59,High,223723.206,Very High,Churned,Inactive,High Value - High Risk,100497.24
1000022,France,Female,49,10,556,114620.0,3,1,1,102453.33,0,40-49,High,210593.666,Very High,Retained,Active,High Value - Low Risk,0.0
1000023,Spain,Female,35,8,628,0.0,2,1,0,48393.63,1,30-39,Low,112478.726,Low,Churned,Inactive,Low Value - High Risk,0.0
1000024,Spain,Male,61,1,683,91781.3,1,1,0,97803.83,1,60+,High,167518.611,High,Churned,Inactive,High Value - High Risk,91781.3
1000025,Spain,Female,28,2,769,0.0,2,1,1,67562.03,0,<30,Low,130412.406,Medium,Retained,Active,Low Value - Low Risk,0.0
1000026,France,Female,24,3,537,0.0,1,1,1,109727.61,1,<30,Low,95645.522,Low,Churned,Active,Low Value - High Risk,0.0
1000027,France,Male,35,2,647,89960.93,1,1,0,110537.62,0,30-39,High,165282.1285,High,Retained,Inactive,High Value - Low Risk,0.0
1000028,France,Female,31,8,762,0.0,1,1,0,96387.65,1,30-39,Low,115477.53,Low,Churned,Inactive,Low Value - High Risk,0.0
1000029,France,Male,35,10,538,134826.06,1,0,0,151278.66,0,30-39,Very High,191692.671,High,Retained,Inactive,High Value - Low Risk,0.0
1000030,Germany,Male,47,6,770,0.0,2,1,1,30388.11,0,40-49,Low,123077.622,Medium,Retained,Active,Low Value - Low Risk,0.0
1000031,Germany,Male,39,9,608,123763.81,2,1,1,119000.49,0,30-39,Very High,205046.5745,Very High,Retained,Active,High Value - Low Risk,0.0
1000032,Spain,Male,39,4,718,0.0,2,1,1,160046.54,0,30-39,Low,143809.30800000002,Medium,Retained,Active,Low Value - Low Risk,0.0
1000033,France,Male,40,7,629,0.0,2,0,0,84083.05,0,40-49,Low,119716.61,Low,Retained,Inactive,Low Value - Low Risk,0.0
1000034,France,Female,18,7,694,110421.27,1,1,0,146692.88,0,<30,High,190512.4015,High,Retained,Inactive,High Value - Low Risk,0.0
1000035,France,Male,24,3,803,105088.95,3,1,1,86833.51,0,<30,High,225974.5195,Very High,Retained,Active,High Value - Low Risk,0.0
1000036,France,Male,35,8,638,168347.97,2,1,1,37242.29,0,30-39,Very High,220674.6385,Very High,Retained,Active,High Value - Low Risk,0.0
1000037,France,Male,31,5,745,90733.13,1,0,1,500.0,0,30-39,High,153576.5345,Medium,Retained,Active,Low Value - Low Risk,0.0
1000038,France,Male,37,6,676,135142.83,2,1,1,68051.4,0,30-39,Very High,209053.1195,Very High,Retained,Active,High Value - Low Risk,0.0
1000039,France,Male,53,2,575,0.0,2,0,0,81847.38,0,50-59,Low,113869.476,Low,Retained,Inactive,Low Value - Low Risk,0.0
