CustomerId,Geography,Gender,Age,Tenure,CreditScore,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,AgeGroup,BalanceSegment,CustomerValueScore,ValueQuartile,ChurnStatus,ActivityStatus,RiskSegment,BalanceAtRisk
1008767,Spain,Female,23,2,739,250000.0,1,1,1,500.0,1,<30,Very High,256500.0,Very High,Churned,Active,High Value - High Risk,250000.0
1000197,Germany,Female,52,2,681,250000.0,2,0,0,133984.16,1,50-59,Very High,297396.832,Very High,Churned,Inactive,High Value - High Risk,250000.0
1009589,Spain,Female,46,7,659,250000.0,1,0,0,132871.49,1,40-49,Very High,274974.298,Very High,Churned,Inactive,High Value - High Risk,250000.0
1004672,France,Female,18,2,654,250000.0,1,0,1,97447.33,1,<30,Very High,267389.466,Very High,Churned,Active,High Value - High Risk,250000.0
1006958,Germany,Male,26,6,654,250000.0,1,0,0,54876.52,1,<30,Very High,258875.304,Very High,Churned,Inactive,High Value - High Risk,250000.0
1002373,France,Female,39,1,625,250000.0,1,1,0,52922.09,1,30-39,Very High,255584.418,Very High,Churned,Inactive,High Value - High Risk,250000.0
1007077,France,Female,42,6,598,250000.0,1,0,1,57276.4,1,40-49,Very High,253755.28,Very High,Churned,Active,High Value - High Risk,250000.0
1004406,Germany,Male,46,9,455,249845.32,1,1,1,132120.66,1,40-49,Very High,254323.59000000003,Very High,Churned,Active,High Value - High Risk,249845.32
1003779,Spain,Female,42,6,584,247847.65,2,1,0,119761.41,1,40-49,Very High,283453.25450000004,Very High,Churned,Inactive,High Value - High Risk,247847.65
1008678,Germany,Female,66,6,642,245485.99,2,1,1,90654.08,1,60+,Very High,281896.7095,Very High,Churned,Active,High Value - High Risk,245485.99
1007813,Germany,Male,37,6,770,243879.09,1,0,0,200000.0,1,30-39,Very High,295521.4085,Very High,Churned,Inactive,High Value - High Risk,243879.09
1006261,Spain,Female,38,10,610,242190.33,1,1,1,500.0,1,30-39,Very High,238523.7145,Very High,Churned,Active,High Value - High Risk,242190.33
1009614,France,Female,47,3,848,237710.39,1,0,1,138227.23,1,40-49,Very High,286957.1995,Very High,Churned,Active,High Value - High Risk,237710.39
1009101,France,Female,25,0,518,236482.3,2,1,0,75207.55,1,<30,Very High,260555.005,Very High,Churned,Inactive,High Value - High Risk,236482.3
1000073,Spain,Female,21,3,710,234560.91,1,1,0,88370.22,1,<30,Very High,261138.6355,Very High,Churned,Inactive,High Value - High Risk,234560.91
1004659,Germany,Female,42,10,756,230784.35,3,1,1,63737.66,1,40-49,Very High,298357.3595,Very High,Churned,Active,High Value - High Risk,230784.35
1007448,France,Female,58,7,613,229812.76,1,1,0,19444.36,1,50-59,Very High,234567.16600000003,Very High,Churned,Inactive,High Value - High Risk,229812.76
1005706,France,Female,33,1,678,229002.15,1,0,1,60320.23,1,30-39,Very High,248715.4435,Very High,Churned,Active,High Value - High Risk,229002.15
1005844,Germany,Female,47,4,594,228596.67,1,0,0,110072.92,1,40-49,Very High,250002.41950000002,Very High,Churned,Inactive,High Value - High Risk,228596.67
1005178,France,Female,63,6,528,227933.58,2,1,1,60287.83,1,60+,Very High,253014.39299999998,Very High,Churned,Active,High Value - High Risk,227933.58
1006677,France,Male,46,0,551,225294.45,1,1,1,99258.59,1,40-49,Very High,241393.1105,Very High,Churned,Active,High Value - High Risk,225294.45
1008551,Germany,Male,33,7,704,225090.44,1,1,0,184681.15,1,30-39,Very High,273645.016,Very High,Churned,Inactive,High Value - High Risk,225090.44
1003123,France,Female,51,9,728,221019.77,1,1,0,195129.29,1,50-59,Very High,275488.7085,Very High,Churned,Inactive,High Value - High Risk,221019.77
1000938,France,Male,45,6,628,220814.79,2,1,0,121041.92,1,40-49,Very High,270537.9975,Very High,Churned,Inactive,High Value - High Risk,220814.79
1000611,Germany,Female,51,4,645,220601.17,1,1,0,153601.08,1,50-59,Very High,258610.9765,Very High,Churned,Inactive,High Value - High Risk,220601.17
1003710,Germany,Female,30,0,560,218244.4,1,1,0,83414.95,1,30-39,Very High,234541.85,Very High,Churned,Inactive,High Value - High Risk,218244.4
1009209,France,Female,30,0,599,217916.45,2,1,0,200000.0,1,30-39,Very High,281545.6925,Very High,Churned,Inactive,High Value - High Risk,217916.45
1004752,Germany,Female,53,7,702,216146.89,2,1,0,500.0,1,50-59,Very High,250795.47850000003,Very High,Churned,Inactive,High Value - High Risk,216146.89
1005430,Germany,Male,29,2,597,216106.56,3,1,0,103433.78,1,<30,Very High,280856.02,Very High,Churned,Inactive,High Value - High Risk,216106.56
1001695,Germany,Female,49,8,460,215258.55,2,0,0,200000.0,1,40-49,Very High,265918.0575,Very High,Churned,Inactive,High Value - High Risk,215258.55
1008731,France,Male,46,10,734,214491.88,2,1,0,51224.25,1,40-49,Very High,263064.57200000004,Very High,Churned,Inactive,High Value - High Risk,214491.88
1007531,France,Male,46,1,485,214028.46,2,0,1,72257.9,1,40-49,Very High,242070.079,Very High,Churned,Active,High Value - High Risk,214028.46
1002738,Germany,Male,36,5,594,212658.99,2,0,1,29882.78,1,30-39,Very High,243604.8995,Very High,Churned,Active,High Value - High Risk,212658.99
1000916,Spain,Male,53,3,591,211390.22,2,0,0,44092.01,1,50-59,Very High,245322.045,Very High,Churned,Inactive,High Value - High Risk,211390.22
1007040,Spain,Male,50,9,717,211317.09,1,1,1,40237.15,1,50-59,Very High,237103.5385,Very High,Churned,Active,High Value - High Risk,211317.09
1007785,France,Male,39,9,596,210078.54,1,1,0,111289.53,1,30-39,Very High,238408.957,Very High,Churned,Inactive,High Value - High Risk,210078.54
1006540,Germany,Female,46,2,601,209536.11,1,1,1,188400.11,1,40-49,Very High,253978.49349999998,Very High,Churned,Active,High Value - High Risk,209536.11
1007149,Germany,Female,45,10,480,209497.04,2,1,1,200000.0,1,40-49,Very High,264173.076,Very High,Churned,Active,High Value - High Risk,209497.04
1001195,Spain,Male,39,5,615,207743.6,2,1,0,69347.36,1,30-39,Very High,250402.812,Very High,Churned,Inactive,High Value - High Risk,207743.6
1001564,Spain,Female,52,5,591,207638.49,1,0,0,138429.46,1,50-59,Very High,241750.9105,Very High,Churned,Inactive,High Value - High Risk,207638.49
1003059,France,Female,47,5,680,207417.42,2,0,0,500.0,1,40-49,Very High,242921.323,Very High,Churned,Inactive,High Value - High Risk,207417.42
1007361,France,Male,66,2,647,207288.77,1,1,0,196634.67,1,60+,Very High,258764.63450000001,Very High,Churned,Inactive,High Value - High Risk,207288.77
1003215,France,Male,44,2,774,206973.39,2,1,0,112699.88,1,40-49,Very High,274472.67949999997,Very High,Churned,Inactive,High Value - High Risk,206973.39
1003261,France,Female,33,1,608,206958.87,3,1,0,35961.12,1,30-39,Very High,262515.4895,Very High,Churned,Inactive,High Value - High Risk,206958.87
1002819,France,Female,49,0,628,206017.83,1,0,0,500.0,1,40-49,Very High,216811.5895,Very High,Churned,Inactive,High Value - High Risk,206017.83
1002705,Germany,Female,47,2,790,205666.63,1,1,1,200000.0,1,40-49,Very High,272683.3095,Very High,Churned,Active,High Value - High Risk,205666.63
1007039,Spain,Female,38,3,599,205454.86,2,1,0,21686.54,1,30-39,Very High,237782.96699999998,Very High,Churned,Inactive,High Value - High Risk,205454.86
1001379,Germany,Male,39,4,541,203179.91,1,1,1,18609.33,1,30-39,Very High,209888.80750000002,Very High,Churned,Active,High Value - High Risk,203179.91
1008271,France,Female,43,8,384,202690.17,1,1,0,14074.15,1,40-49,Very High,192963.4405,High,Churned,Inactive,High Value - High Risk,202690.17
1001369,France,Male,40,7,850,202277.14,1,1,0,116164.78,1,40-49,Very High,259713.097,Very High,Churned,Inactive,High Value - High Risk,202277.14
